UitlegGlTb;Aantal;Zon_PV;Zonneboiler;mWKK;eWP;EWV;hWP
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
onbekend;0;0;0;0;0;0;0
Glastuinbouw_groente_verwarmd;0;0;0;0;0;0;0
Glastuinbouw_groente_onverwarmd;0;0;0;0;0;0;0
Glastuinbouw_groente_belicht;0;0;0;0;0;0;0
Glastuinbouw_groente_onbelicht;0;0;0;0;0;0;0
Glastuinbouw_bloemen_verwarmd;0;0;0;0;0;0;0
Glastuinbouw_bloemen_onverwarmd;0;0;0;0;0;0;0
Glastuinbouw_bloemen_belicht;0;0;0;0;0;0;0
Glastuinbouw_bloemen_onbelicht;0;0;0;0;0;0;0
Glastuinbouw_overig_verwarmd;0;0;0;0;0;0;0
Glastuinbouw_overig_onverwarmd;0;0;0;0;0;0;0
Glastuinbouw_overig_belicht;0;0;0;0;0;0;0
Glastuinbouw_overig_onbelicht;0;0;0;0;0;0;0
