WoningType;Aantal;Schil;RuimteVerwarming;EL/eWP;EL/EWV;EL/Aplus;EL/LabelB;EL/LabelC;EL/LabelD;EL/LabelE;EL/LabelF;EL/LabelG
[];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning]
onbekend;39703.1202;0;0;0;0;39703.1202;0;0;0;0;0;0
vrijstaand/bungalows;234166.543;0;0;0;0;234166.543;0;0;0;0;0;0
twee onder een kap;234727.803;0;0;0;0;234727.803;0;0;0;0;0;0
rijtjeshuizen/eengezins;800126.38;0;0;0;0;800126.38;0;0;0;0;0;0
flats 4 of minder verdiepingen;217410.291;0;0;0;0;217410.291;0;0;0;0;0;0
flats meer dan 4 verdiepingen;112852.202;0;0;0;0;112852.202;0;0;0;0;0;0
etagewoning/maisonnette;120149.29;0;0;0;0;120149.29;0;0;0;0;0;0
etage/flats grachtenpand;12497.7886;0;0;0;0;12497.7886;0;0;0;0;0;0
herenhuis grachtenpand;29502.7621;0;0;0;0;29502.7621;0;0;0;0;0;0
zelfstandige bejaardenwoning;55311.6125;0;0;0;0;55311.6125;0;0;0;0;0;0
boerderij/tuinderij;23844.9123;0;0;0;0;23844.9123;0;0;0;0;0;0
studentenwoning/flat;11479.1302;0;0;0;0;11479.1302;0;0;0;0;0;0
woonboten;0;0;0;0;0;0;0;0;0;0;0;0
woonwagens;0;0;0;0;0;0;0;0;0;0;0;0
divers;60298.2382;0;0;0;0;60298.2382;0;0;0;0;0;0
