woningtype_bouwjaarklasse;Aantal;Restwarmte;GeoThermie;WijkWKK;BioWKK;WKO;Aardgas
[];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning]
geen woonpand_voor 1946 ;0;0;0;0;0;0;0
geen woonpand_tussen 1946 en 1965 ;0;0;0;0;0;0;0
geen woonpand_tussen 1965 en 1974 ;0;0;0;0;0;0;0
geen woonpand_tussen 1975 en 1991 ;0;0;0;0;0;0;0
geen woonpand_tussen 1992 en 2005 ;0;0;0;0;0;0;0
geen woonpand_tussen 2006 en 2014 ;0;0;0;0;0;0;0
vrijstaand_voor 1946 ;280969;1089;343;0;233;0;279304
vrijstaand_tussen 1946 en 1965 ;139439;410;112;0;182;0;138735
vrijstaand_tussen 1965 en 1974 ;111875;354;62;0;164;0;111295
vrijstaand_tussen 1975 en 1991 ;182135;1462;51;0;211;0;180411
vrijstaand_tussen 1992 en 2005 ;187691;4998;91;0;211;0;182391
vrijstaand_tussen 2006 en 2014 ;81506;2842;24;0;49;0;78591
2 onder 1 kap_voor 1946 ;174594;1274;588;0;372;0;172360
2 onder 1 kap_tussen 1946 en 1965 ;130138;536;108;0;184;0;129310
2 onder 1 kap_tussen 1965 en 1974 ;85001;121;10;0;58;0;84812
2 onder 1 kap_tussen 1975 en 1991 ;121108;1565;38;0;74;0;119431
2 onder 1 kap_tussen 1992 en 2005 ;99150;4753;46;0;63;0;94288
2 onder 1 kap_tussen 2006 en 2014 ;52272;2378;29;0;25;0;49840
rijwoning hoek_voor 1946 ;123780;2041;1037;0;309;0;120393
rijwoning hoek_tussen 1946 en 1965 ;127325;642;136;0;136;0;126411
rijwoning hoek_tussen 1965 en 1974 ;163622;613;18;0;22;0;162969
rijwoning hoek_tussen 1975 en 1991 ;313768;15546;136;0;49;0;298037
rijwoning hoek_tussen 1992 en 2005 ;127574;13734;85;0;41;0;113714
rijwoning hoek_tussen 2006 en 2014 ;68164;3588;48;0;17;0;64511
rijwoning tussen_voor 1946 ;321935;12278;5457;0;1413;0;302787
rijwoning tussen_tussen 1946 en 1965 ;234668;1460;334;0;221;0;232653
rijwoning tussen_tussen 1965 en 1974 ;336560;2469;69;0;35;0;333987
rijwoning tussen_tussen 1975 en 1991 ;711041;47309;388;0;112;0;663232
rijwoning tussen_tussen 1992 en 2005 ;356336;50024;349;0;82;0;305881
rijwoning tussen_tussen 2006 en 2014 ;178669;12603;123;0;69;0;165874
meergezins: laag en midden_voor 1946 ;372707;21658;9795;0;2874;0;338380
meergezins: laag en midden_tussen 1946 en 1965 ;203435;4223;1392;0;326;0;197494
meergezins: laag en midden_tussen 1965 en 1974 ;144349;3539;1333;0;69;0;139408
meergezins: laag en midden_tussen 1975 en 1991 ;415673;32930;4888;0;1608;0;376247
meergezins: laag en midden_tussen 1992 en 2005 ;250758;13913;1543;0;902;0;234400
meergezins: laag en midden_tussen 2006 en 2014 ;381092;26088;2771;0;818;0;351415
meergezins: hoog_voor 1946 ;184477;20314;1488;0;790;0;161885
meergezins: hoog_tussen 1946 en 1965 ;139372;7620;801;0;66;0;130885
meergezins: hoog_tussen 1965 en 1974 ;234144;5993;474;0;61;0;227616
meergezins: hoog_tussen 1975 en 1991 ;150394;18187;2033;0;632;0;129542
meergezins: hoog_tussen 1992 en 2005 ;142439;20269;1450;0;515;0;120205
meergezins: hoog_tussen 2006 en 2014 ;75181;9528;498;0;130;0;65025
