UtiliteitsType;Aantal;Zon_PV;Zonneboiler;mWKK;eWP;EWV;hWP
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
Kantoor;70197898.6;0;0;0;2738210.45;0;0
Winkel;52034666.5;0;0;0;309.266646;0;0
Gezondheidszorg;21502186.4;0;0;0;388304.903;0;0
Logies;14519620.5;0;0;0;128694.121;0;0
Onderwijs;38848790.7;0;0;0;3795.07111;0;0
Industrie;40951472.9;0;0;0;8416.51791;0;0
Bijeenkomst;33294920.4;0;0;0;1021786.2;0;0
Sport;13103142.8;0;0;0;0;0;0
overige_gebruiks;37069925;0;0;0;37.9065787;0;0
Cel;891079.424;0;0;0;7230.04622;0;0
