WoningType;Aantal;Restwarmte;GeoThermie;WijkWKK;BioWKK;WKO;Aardgas
[];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning]
onbekend;20503.306;1428.7232;18.251134;0;21.9099663;3264.631;15769.7907
vrijstaand/bungalows;120707.294;5512.64312;161.231301;0;49.4475475;81636.6125;31321.6827
twee onder een kap;122187.519;6416.25925;175.377477;0;35.3067722;88956.8252;26603.7507
rijtjeshuizen/eengezins;421061.605;25345.8676;481.017835;0;75.8290742;358885.452;36273.439
flats 4 of minder verdiepingen;114769.004;8580.89209;72.7726151;0;69.0140516;66318.3177;39728.0076
flats meer dan 4 verdiepingen;58308.9726;4963.25171;17.6785383;0;20.1703004;37535.6158;15772.2562
etagewoning/maisonnette;62932.2989;5169.66457;30.8626713;0;36.1656334;34079.7559;23615.8502
etage/flats grachtenpand;6503.98107;566.698407;2.3684822;0;2.81157027;414.837489;5517.26513
herenhuis grachtenpand;15537.9861;1107.95989;11.7046339;0;13.5898157;2159.1273;12245.6044
zelfstandige bejaardenwoning;28354.7802;2211.54171;17.842437;0;20.7592759;9388.5517;16716.0851
boerderij/tuinderij;12018.4504;558.125966;21.525738;0;21.5796287;278.431545;11138.7875
studentenwoning/flat;5537.14329;393.595085;2.50768278;0;2.7645805;1293.20703;3845.06891
woonboten;0;0;0;0;0;0;0
woonwagens;0;0;0;0;0;0;0
divers;31547.7677;2024.12838;32.6629055;0;37.1295859;4353.24284;25100.604
