UtiliteitsType;Aantal;Restwarmte;GeoThermie;WijkWKK;BioWKK;WKO;Aardgas
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
Kantoor;71431295.9;13244171.6;4720806.23;0;4385630.34;3285093.19;45099888.9
Winkel;52861541.9;5625981.93;2580685.09;0;2132738.05;2028488.62;40493639.4
Gezondheidszorg;21553850.3;1440262.77;1813526.57;0;926352.966;2284160.02;14856863.7
Logies;14530265.2;857839.658;337289.926;0;1299935.24;746299.861;11284565.9
Onderwijs;38849237.2;3728207.14;727453.577;0;260722.415;3170987.79;30961824.3
Industrie;41075319.5;2632582.13;243464.264;0;746446.56;4725421.29;32727289.8
Bijeenkomst;33366779.6;3570585;1102958.52;0;974322.702;1505778.75;25945151.6
Sport;13133561;703900.142;120210.149;0;188698.291;836294.266;11284458.1
overige_gebruiks;37161472.2;4449566.41;889368.701;0;671452.819;2883891.6;28267192.7
Cel;891825.209;101818;0;0;28904;257546.012;497834.301
