Afnemer;Oj_Totaal;Kj_Totaal;Oj_Netto;Woning;UitlegWoning;Utiliteit;UitlegUtil;Glastuinbouw;UitlegGlTb;RestWarmte;GeoThermie;WKO;WijkWKK;BioWKK;Subsidie
[];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr]
GebouwVerbetering;1597.05649;0;1597.05649;421.497406;0;118.471753;0;0;0;97.5122258;102.453482;814.628286;0;42.4933329;0
LokaleOpwekking;293.01954;0;293.01954;0;48.1833745;34.7126498;0;0;0;201.709033;0.000973738822;0;0;8.41350847;0
Gas;6258.17375;0;6258.17375;3360.3462;179.405469;942.914695;101.941573;563.320028;0;74.898707;20.1068332;0;0;12.2588579;1002.98138
Elektra;10539.5898;0;10539.5898;3531.50705;1254.23143;4309.59898;466.08018;707.962865;0;0;0;380.19533;0;-41.3207813;-68.6652265
RestWarmte;939.043079;865.71893;73.3241495;329.500226;64.576659;424.178783;12.5542005;108.23321;0;0;0;0;0;0;0
GeoThermie;287.255002;254.373518;32.8814841;61.2112796;3.35247208;219.062071;3.14479917;0.484379885;0;0;0;0;0;0;0
WKO;1962.15092;1521.74216;440.40876;0;1720.87482;241.239651;0.0364518222;0;0;0;0;0;0;0;0
WijkWKK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BioWKK;181.338754;149.412971;31.9257828;26.3075866;1.52676528;151.785542;1.69427441;0.0245856189;0;0;0;0;0;0;0
Onderhoud & Verbruik;188.244827;0;188.244827;0;-287.70603;19.2974345;0;0;0;296.433517;63.6621869;5.38483936;0;91.1728788;0
CO2 Heffing;152.555489;0;152.555489;42.2820534;14.0872719;67.9990585;7.25797467;13.8515957;0;0;0;7.07753508;0;0;0
Energie heffing;8441.09582;934.316157;7506.77966;5278.02246;422.304856;1637.25843;217.777673;593.749551;0;120.342866;32.3064849;119.636678;0;19.6968166;0
BTW;3641.90906;0;3641.90906;2709.02929;784.41913;0;0;0;0;50.6949981;8.81777705;82.9714412;0;5.97642631;0
RisicoPremie;514.258519;0;514.258519;92.2670587;136.278628;97.5664719;14.423014;8.34465027E-13;0;24.1275816;27.0257796;111.848053;0;10.7219316;0
