woningtype_bouwjaarklasse;Aantal;Zon_PV;Zonneboiler;mWKK;eWP;EWV;hWP
[];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning]
geen woonpand_voor 1946 ;0;0;0;0;0;0;0
geen woonpand_tussen 1946 en 1965 ;0;0;0;0;0;0;0
geen woonpand_tussen 1965 en 1974 ;0;0;0;0;0;0;0
geen woonpand_tussen 1975 en 1991 ;0;0;0;0;0;0;0
geen woonpand_tussen 1992 en 2005 ;0;0;0;0;0;0;0
geen woonpand_tussen 2006 en 2014 ;0;0;0;0;0;0;0
vrijstaand_voor 1946 ;278256;0;0;0;0;0;0
vrijstaand_tussen 1946 en 1965 ;135464;0;0;0;0;0;0
vrijstaand_tussen 1965 en 1974 ;109471;0;0;0;0;0;0
vrijstaand_tussen 1975 en 1991 ;180883;0;0;0;0;0;0
vrijstaand_tussen 1992 en 2005 ;186803;0;0;0;0;0;0
vrijstaand_tussen 2006 en 2014 ;81056;0;0;0;0;0;0
2 onder 1 kap_voor 1946 ;171870;0;0;0;0;0;0
2 onder 1 kap_tussen 1946 en 1965 ;121567;0;0;0;0;0;0
2 onder 1 kap_tussen 1965 en 1974 ;81884;0;0;0;0;0;0
2 onder 1 kap_tussen 1975 en 1991 ;120114;0;0;0;0;0;0
2 onder 1 kap_tussen 1992 en 2005 ;98620;0;0;0;0;0;0
2 onder 1 kap_tussen 2006 en 2014 ;51962;0;0;0;0;0;0
rijwoning hoek_voor 1946 ;119419;0;0;0;0;0;0
rijwoning hoek_tussen 1946 en 1965 ;111090;0;0;0;0;0;0
rijwoning hoek_tussen 1965 en 1974 ;151383;0;0;0;0;0;0
rijwoning hoek_tussen 1975 en 1991 ;310009;0;0;0;0;0;0
rijwoning hoek_tussen 1992 en 2005 ;126072;0;0;0;0;0;0
rijwoning hoek_tussen 2006 en 2014 ;67124;0;0;0;0;0;0
rijwoning tussen_voor 1946 ;307210;0;0;0;0;0;0
rijwoning tussen_tussen 1946 en 1965 ;202124;0;0;0;0;0;0
rijwoning tussen_tussen 1965 en 1974 ;309402;0;0;0;0;0;0
rijwoning tussen_tussen 1975 en 1991 ;701344;0;0;0;0;0;0
rijwoning tussen_tussen 1992 en 2005 ;351522;0;0;0;0;0;0
rijwoning tussen_tussen 2006 en 2014 ;175722;0;0;0;0;0;0
meergezins: laag en midden_voor 1946 ;360166;0;0;0;0;0;0
meergezins: laag en midden_tussen 1946 en 1965 ;185490;0;0;0;0;0;0
meergezins: laag en midden_tussen 1965 en 1974 ;137353;0;0;0;0;0;0
meergezins: laag en midden_tussen 1975 en 1991 ;400046;0;0;0;0;0;0
meergezins: laag en midden_tussen 1992 en 2005 ;244415;0;0;0;0;0;0
meergezins: laag en midden_tussen 2006 en 2014 ;372837;0;0;0;0;0;0
meergezins: hoog_voor 1946 ;182398;0;0;0;0;0;0
meergezins: hoog_tussen 1946 en 1965 ;134060;0;0;0;0;0;0
meergezins: hoog_tussen 1965 en 1974 ;217347;0;0;0;0;0;0
meergezins: hoog_tussen 1975 en 1991 ;145989;0;0;0;0;0;0
meergezins: hoog_tussen 1992 en 2005 ;138803;0;0;0;0;0;0
meergezins: hoog_tussen 2006 en 2014 ;72992;0;0;0;0;0;0
