Jaar;KGJ_BIOMASSA;KGJ_KOLEN_EXCL;KGJ_KOLEN_CO2
2010;5.55;2.961046111;0.388637302
2011;5.55;2.961046111;0.388637302
2012;5.55;2.961046111;0.388637302
2013;5.55;2.961046111;0.388637302
2014;5.55;2.928387515;0.388637302
2015;5.55;2.895728918;0.388637302
2016;5.55;2.863070321;0.388637302
2017;5.55;2.830411724;0.388637302
2018;5.55;2.797753127;0.388637302
2019;5.55;2.765094531;0.388637302
2020;5.55;2.732435934;0.388637302
2021;5.55;2.699777337;0.738410874
2022;5.55;2.66711874;1.088184446
2023;5.55;2.634460143;1.437958018
2024;5.55;2.601801546;1.78773159
2025;5.55;2.56914295;2.137505162
2026;5.55;2.536484353;2.487278734
2027;5.55;2.503825756;2.837052306
2028;5.55;2.471167159;3.186825877
2029;5.55;2.438508562;3.536599449
2030;5.55;2.405849966;3.886373021
2031;7.3;2.405849966;4.469328975
2032;7.68;2.405849966;5.052284928
2033;8.09;2.405849966;5.635240881
2034;8.52;2.405849966;6.218196834
2035;8.98;2.405849966;6.801152787
2036;9.46;2.405849966;7.384108741
2037;9.96;2.405849966;7.967064694
2038;10.49;2.405849966;8.550020647
2039;11.05;2.405849966;9.1329766
2040;11.63;2.405849966;9.715932553
2041;12.25;2.405849966;10.29888851
2042;12.91;2.405849966;10.88184446
2043;13.59;2.405849966;11.46480041
2044;14.32;2.405849966;12.04775637
2045;15.08;2.405849966;12.63071232
2046;15.88;2.405849966;13.21366827
2047;16.73;2.405849966;13.79662423
2048;17.62;2.405849966;14.37958018
2049;18.55;2.405849966;14.96253613
2050;19.54;2.405849966;15.54549209
2051;19.54;2.405849966;15.54549209
2052;19.54;2.405849966;15.54549209
2053;19.54;2.405849966;15.54549209
2054;19.54;2.405849966;15.54549209
2055;19.54;2.405849966;15.54549209
2056;19.54;2.405849966;15.54549209
2057;19.54;2.405849966;15.54549209
2058;19.54;2.405849966;15.54549209
2059;19.54;2.405849966;15.54549209
2060;19.54;2.405849966;15.54549209
2061;19.54;2.405849966;15.54549209
2062;19.54;2.405849966;15.54549209
2063;19.54;2.405849966;15.54549209
2064;19.54;2.405849966;15.54549209
2065;19.54;2.405849966;15.54549209
2066;19.54;2.405849966;15.54549209
2067;19.54;2.405849966;15.54549209
2068;19.54;2.405849966;15.54549209
2069;19.54;2.405849966;15.54549209
2070;19.54;2.405849966;15.54549209
2071;19.54;2.405849966;15.54549209
2072;19.54;2.405849966;15.54549209
2073;19.54;2.405849966;15.54549209
2074;19.54;2.405849966;15.54549209
2075;19.54;2.405849966;15.54549209
2076;19.54;2.405849966;15.54549209
2077;19.54;2.405849966;15.54549209
2078;19.54;2.405849966;15.54549209
2079;19.54;2.405849966;15.54549209
2080;19.54;2.405849966;15.54549209
