Jaar;KGJ_BIOMASSA;KGJ_KOLEN_EXCL;KGJ_KOLEN_CO2
2010;5.18;2.96;0.39
2011;5.18;2.96;0.39
2012;5.18;2.96;0.39
2013;5.18;2.96;0.39
2014;5.18;2.98;0.39
2015;5.18;2.99;0.39
2016;5.18;3.01;0.39
2017;5.18;3.03;0.39
2018;5.18;3.04;0.39
2019;5.18;3.06;0.39
2020;5.18;3.08;0.39
2021;5.18;3.09;0.50
2022;5.18;3.11;0.60
2023;5.18;3.12;0.71
2024;5.18;3.14;0.82
2025;5.18;3.16;0.92
2026;5.18;3.17;1.03
2027;5.18;3.19;1.14
2028;5.18;3.21;1.24
2029;5.18;3.22;1.35
2030;5.18;3.24;1.46
2031;6.29;3.26;1.58
2032;6.43;3.28;1.70
2033;6.58;3.29;1.82
2034;6.72;3.31;1.94
2035;6.88;3.33;2.06
2036;7.03;3.35;2.19
2037;7.19;3.37;2.31
2038;7.35;3.39;2.43
2039;7.52;3.41;2.55
2040;7.69;3.42;2.67
2041;7.86;3.44;2.79
2042;8.04;3.46;2.91
2043;8.22;3.48;3.04
2044;8.40;3.50;3.16
2045;8.59;3.52;3.28
2046;8.79;3.53;3.40
2047;8.99;3.55;3.52
2048;9.19;3.57;3.64
2049;9.40;3.59;3.76
2050;9.61;3.61;3.89
2051;9.61;3.61;3.89
2052;9.61;3.61;3.89
2053;9.61;3.61;3.89
2054;9.61;3.61;3.89
2055;9.61;3.61;3.89
2056;9.61;3.61;3.89
2057;9.61;3.61;3.89
2058;9.61;3.61;3.89
2059;9.61;3.61;3.89
2060;9.61;3.61;3.89
2061;9.61;3.61;3.89
2062;9.61;3.61;3.89
2063;9.61;3.61;3.89
2064;9.61;3.61;3.89
2065;9.61;3.61;3.89
2066;9.61;3.61;3.89
2067;9.61;3.61;3.89
2068;9.61;3.61;3.89
2069;9.61;3.61;3.89
2070;9.61;3.61;3.89
2071;9.61;3.61;3.89
2072;9.61;3.61;3.89
2073;9.61;3.61;3.89
2074;9.61;3.61;3.89
2075;9.61;3.61;3.89
2076;9.61;3.61;3.89
2077;9.61;3.61;3.89
2078;9.61;3.61;3.89
2079;9.61;3.61;3.89
2080;9.61;3.61;3.89
